slug,startDate,endDate,p_up,p_down
btc-updown-5m-1777794600,2026-05-02T07:58:02.269638Z,2026-05-03T07:55:00Z,0,1
btc-updown-5m-1777794900,2026-05-02T08:03:39.960319Z,2026-05-03T08:00:00Z,0,1
btc-updown-5m-1777795200,2026-05-02T08:08:20.947135Z,2026-05-03T08:05:00Z,1,0
btc-updown-5m-1777795500,2026-05-02T08:13:36.139485Z,2026-05-03T08:10:00Z,1,0
btc-updown-5m-1777795800,2026-05-02T08:19:05.537111Z,2026-05-03T08:15:00Z,0,1
btc-updown-5m-1777796100,2026-05-02T08:23:40.470777Z,2026-05-03T08:20:00Z,1,0
btc-updown-5m-1777796400,2026-05-02T08:28:13.773831Z,2026-05-03T08:25:00Z,0,1
btc-updown-5m-1777796700,2026-05-02T08:34:05.857357Z,2026-05-03T08:30:00Z,0,1
btc-updown-5m-1777797000,2026-05-02T08:38:20.181001Z,2026-05-03T08:35:00Z,0,1
btc-updown-5m-1777797300,2026-05-02T08:43:36.143467Z,2026-05-03T08:40:00Z,1,0
btc-updown-5m-1777797600,2026-05-02T08:49:05.938741Z,2026-05-03T08:45:00Z,1,0
btc-updown-5m-1777797900,2026-05-02T08:53:25.494539Z,2026-05-03T08:50:00Z,0,1
btc-updown-5m-1777798200,2026-05-02T08:59:05.907429Z,2026-05-03T08:55:00Z,0,1
btc-updown-5m-1777798500,2026-05-02T09:04:22.190146Z,2026-05-03T09:00:00Z,0,1
btc-updown-5m-1777798800,2026-05-02T09:12:07.069165Z,2026-05-03T09:05:00Z,0,1
btc-updown-5m-1777799100,2026-05-02T09:16:23.078086Z,2026-05-03T09:10:00Z,1,0
btc-updown-5m-1777799400,2026-05-02T09:18:36.209346Z,2026-05-03T09:15:00Z,0,1
btc-updown-5m-1777799700,2026-05-02T09:23:31.832667Z,2026-05-03T09:20:00Z,1,0
btc-updown-5m-1777800000,2026-05-02T09:29:07.940759Z,2026-05-03T09:25:00Z,1,0
btc-updown-5m-1777800300,2026-05-02T09:33:44.410077Z,2026-05-03T09:30:00Z,1,0
