date,slug,startDate,endDate,p_up,p_down,resolved,outcome
2026-04-23,spx-up-or-down-on-april-23-2026,2026-04-22T12:05:34.612612Z,2026-04-23T20:00:00Z,0.0,1.0,False,
2026-04-24,spx-up-or-down-on-april-24-2026,2026-04-23T12:03:21.458861Z,2026-04-24T20:00:00Z,1.0,0.0,False,
2026-04-27,spx-up-or-down-on-april-27-2026,2026-04-24T12:06:38.341831Z,2026-04-27T20:00:00Z,1.0,0.0,False,
2026-04-28,spx-up-or-down-on-april-28-2026,2026-04-27T12:06:04.062566Z,2026-04-28T20:00:00Z,0.0,1.0,False,
2026-04-29,spx-up-or-down-on-april-29-2026,2026-04-28T17:17:55.368407Z,2026-04-29T20:00:00Z,0.0,1.0,False,
2026-04-30,spx-up-or-down-on-april-30-2026,2026-04-29T12:05:11.656506Z,2026-04-30T20:00:00Z,1.0,0.0,False,
2026-05-01,spx-up-or-down-on-may-1-2026,2026-04-30T12:03:01.998947Z,2026-05-01T20:00:00Z,1.0,0.0,False,
2026-05-04,spx-up-or-down-on-may-4-2026,2026-05-01T12:02:34.258177Z,2026-05-04T20:00:00Z,0.0,1.0,False,
2026-05-06,spx-up-or-down-on-may-6-2026,2026-05-05T12:02:32.638342Z,2026-05-06T20:00:00Z,1.0,0.0,False,
2026-05-07,spx-up-or-down-on-may-7-2026,2026-05-06T12:02:31.827382Z,2026-05-07T20:00:00Z,0.0,1.0,False,
2026-05-08,spx-up-or-down-on-may-8-2026,2026-05-07T12:05:47.034655Z,2026-05-08T20:00:00Z,1.0,0.0,False,
2026-05-11,spx-up-or-down-on-may-11-2026,2026-05-08T12:02:56.434931Z,2026-05-11T20:00:00Z,1.0,0.0,False,
2026-05-12,spx-up-or-down-on-may-12-2026,2026-05-11T12:05:58.30064Z,2026-05-12T20:00:00Z,0.0205,0.9795,False,
